FileName	BlocksAmount	Entropy
Grid_0.txt	78	4.05564
Grid_1.txt	78	4.0417
Grid_10.txt	77	4.04979
Grid_100.txt	79	4.04238
Grid_1000.txt	78	4.02064
Grid_10000.txt	75	3.9877
Grid_100000.txt	75	3.93193
Grid_1000000.txt	72	3.83047
Grid_10000000.txt	68	3.80442
Grid_2.txt	77	4.04338
Grid_20.txt	79	4.04851
Grid_200.txt	77	4.04297
Grid_2000.txt	74	4.01551
Grid_20000.txt	75	3.97304
Grid_200000.txt	74	3.9313
Grid_2000000.txt	65	3.80562
Grid_3.txt	78	4.04619
Grid_30.txt	76	4.04814
Grid_300.txt	79	4.03808
Grid_3000.txt	78	4.01386
Grid_30000.txt	76	3.96421
Grid_300000.txt	72	3.93755
Grid_3000000.txt	69	3.79994
Grid_4.txt	78	4.05268
Grid_40.txt	79	4.05519
Grid_400.txt	77	4.03669
Grid_4000.txt	78	3.99736
Grid_40000.txt	75	3.97102
Grid_400000.txt	74	3.91155
Grid_4000000.txt	68	3.79664
Grid_5.txt	78	4.03973
Grid_50.txt	77	4.05401
Grid_500.txt	75	4.03276
Grid_5000.txt	77	3.99689
Grid_50000.txt	77	3.93656
Grid_500000.txt	74	3.91508
Grid_5000000.txt	71	3.80695
Grid_6.txt	77	4.04754
Grid_60.txt	77	4.04008
Grid_600.txt	77	4.03151
Grid_6000.txt	76	3.99439
Grid_60000.txt	75	3.94805
Grid_600000.txt	73	3.88302
Grid_6000000.txt	70	3.81506
Grid_7.txt	78	4.04524
Grid_70.txt	78	4.04636
Grid_700.txt	76	4.04353
Grid_7000.txt	79	3.99204
Grid_70000.txt	76	3.9521
Grid_700000.txt	75	3.86497
Grid_7000000.txt	66	3.79925
Grid_8.txt	78	4.04865
Grid_80.txt	78	4.03475
Grid_800.txt	76	4.02318
Grid_8000.txt	77	3.97708
Grid_80000.txt	76	3.95553
Grid_800000.txt	75	3.84592
Grid_8000000.txt	73	3.80602
Grid_9.txt	79	4.04473
Grid_90.txt	77	4.04433
Grid_900.txt	78	4.02599
Grid_9000.txt	77	3.98881
Grid_90000.txt	73	3.95008
Grid_900000.txt	69	3.81654
Grid_9000000.txt	68	3.81066
