14880	0.775883
14810	0.77545
15057	0.776369
14806	0.776391
14901	0.777282
16380	0.78713
17412	0.786644
10761	0.583708
10709	0.571641
14932	0.775984
14978	0.776345
14386	0.773617
16403	0.784555
17227	0.792754
17599	0.780391
10640	0.56023
14767	0.775002
15056	0.777058
14722	0.774834
16877	0.788709
17902	0.796948
17186	0.779468
10714	0.566388
15043	0.777234
14497	0.773622
15077	0.775584
17196	0.790739
17290	0.794102
17456	0.757928
9729	0.556567
15179	0.777247
14877	0.776117
14740	0.77296
16801	0.787982
17805	0.793146
16351	0.735696
10755	0.569464
15188	0.776922
15055	0.77735
15013	0.776078
16794	0.788983
17718	0.793986
14507	0.705065
10030	0.568904
15310	0.777167
15046	0.776614
14900	0.77714
16845	0.789096
17144	0.790535
14274	0.676811
10461	0.556071
15396	0.777897
14830	0.775348
15162	0.778274
17418	0.792664
17270	0.790728
12664	0.633963
10955	0.574501
15420	0.778282
15032	0.776016
15657	0.781335
16844	0.790028
16831	0.787655
11061	0.588652
10187	0.555994
