FileName	BlocksAmount	Entropy
Grid_0.txt	18422	5.76534
Grid_1.txt	18637	5.73619
Grid_10.txt	19435	5.73682
Grid_100.txt	19424	5.72874
Grid_1000.txt	19265	5.71571
Grid_10000.txt	18478	5.68997
Grid_100000.txt	16889	5.63356
Grid_1000000.txt	12820	5.50611
Grid_10000000.txt	11933	5.47257
Grid_2.txt	18832	5.73835
Grid_20.txt	19359	5.72316
Grid_200.txt	19431	5.72294
Grid_2000.txt	19114	5.71474
Grid_20000.txt	18192	5.66731
Grid_200000.txt	16739	5.63304
Grid_2000000.txt	11940	5.47386
Grid_3.txt	18950	5.73856
Grid_30.txt	19343	5.72231
Grid_300.txt	19664	5.71703
Grid_3000.txt	19056	5.71043
Grid_30000.txt	17975	5.6613
Grid_300000.txt	16998	5.64111
Grid_3000000.txt	11932	5.46132
Grid_4.txt	19143	5.74889
Grid_40.txt	19601	5.73136
Grid_400.txt	19639	5.71134
Grid_4000.txt	18640	5.69419
Grid_40000.txt	17938	5.67534
Grid_400000.txt	16097	5.6122
Grid_4000000.txt	11747	5.46043
Grid_5.txt	18913	5.7267
Grid_50.txt	19735	5.73872
Grid_500.txt	19556	5.71471
Grid_5000.txt	18661	5.69425
Grid_50000.txt	17306	5.62839
Grid_500000.txt	16025	5.6178
Grid_5000000.txt	12104	5.4727
Grid_6.txt	18986	5.73664
Grid_60.txt	19324	5.70966
Grid_600.txt	19482	5.71621
Grid_6000.txt	18614	5.70006
Grid_60000.txt	17412	5.64812
Grid_600000.txt	15115	5.58035
Grid_6000000.txt	12226	5.48909
Grid_7.txt	19026	5.72742
Grid_70.txt	19543	5.72946
Grid_700.txt	19651	5.75278
Grid_7000.txt	18610	5.67837
Grid_70000.txt	17583	5.66209
Grid_700000.txt	14147	5.55392
Grid_7000000.txt	11901	5.46679
Grid_8.txt	19227	5.72981
Grid_80.txt	19369	5.70576
Grid_800.txt	19374	5.70582
Grid_8000.txt	18508	5.66786
Grid_80000.txt	17487	5.65788
Grid_800000.txt	13227	5.53382
Grid_8000000.txt	11980	5.46427
Grid_9.txt	19239	5.72403
Grid_90.txt	19548	5.72307
Grid_900.txt	19366	5.71445
Grid_9000.txt	18689	5.6819
Grid_90000.txt	17330	5.64268
Grid_900000.txt	12436	5.48228
Grid_9000000.txt	11977	5.47815
